Start,End,Open,High,Low,Close,Volume,Market Cap
2020-01-01,2020-01-02,7196.61464775,7252.034227901,7182.140635881,7213.918462217,17174701192.721855,130562734340.6505
2020-01-02,2020-01-03,7214.705283027,7222.856260595,6953.660847796,6968.274896337,16978615552.320255,128456540022.85226
2020-01-03,2020-01-04,6967.51107306,7384.887332524,6891.532175446,7317.184074338,23323885155.707115,130662850185.82353
2020-01-04,2020-01-05,7324.098144991,7373.7943974,7290.638622143,7358.491964047,22091911757.372955,132598810198.4466
2020-01-05,2020-01-06,7356.759129712,7475.155225639,7341.45668574,7352.362745092,18782091517.372353,134419222812.48914
2020-01-06,2020-01-07,7361.712600237,7764.21795016,7357.585483456,7764.21795016,20385990287.924366,136278512926.95403
2020-01-07,2020-01-08,7751.389283527,8173.268894564,7751.389283527,8155.216395206,26898528961.363876,143243994478.9517
2020-01-08,2020-01-09,8152.750894301,8431.806289382,7889.175445587,8055.759827258,32572235030.894993,148885145141.64438
2020-01-09,2020-01-10,8047.810851678,8047.810851678,7781.210633946,7829.063239858,27423415908.25392,142893103636.11987
2020-01-10,2020-01-11,7821.633549759,8160.41356717,7699.760199871,8160.41356717,25445878088.332386,142683057758.6851
2020-01-11,2020-01-12,8173.013790191,8249.130106671,8024.156861576,8024.791558571,29273068672.251602,146762212989.91052
2020-01-12,2020-01-13,8031.849294841,8168.956022809,7979.109216272,8164.590607768,23264705657.57096,146765777200.64877
2020-01-13,2020-01-14,8174.754397887,8176.991753055,8065.080319568,8116.969510017,20209676488.402725,146622670428.85986
2020-01-14,2020-01-15,8106.521950326,8844.280645076,8106.521950326,8838.564861799,30880804631.850952,154877884753.05545
2020-01-15,2020-01-16,8818.537331019,8875.853271286,8409.183692222,8807.632433908,41907940746.90112,158048673749.5914
2020-01-16,2020-01-17,8814.531198942,8840.121840206,8606.312632729,8722.037088492,30633889567.394585,157032648632.23404
2020-01-17,2020-01-18,8725.248860453,8985.126764006,8675.456403323,8921.648280804,29962458959.557713,160221315058.64725
2020-01-18,2020-01-19,8914.23845602,8970.022162485,8821.66880923,8929.544856857,29485862975.67403,160919593886.1573
2020-01-19,2020-01-20,8925.609579228,9170.718170719,8587.801980243,8697.342225048,29631647239.100475,160142088750.69852
2020-01-20,2020-01-21,8706.122036344,8739.596899835,8540.670356241,8639.196220239,25527853490.943573,156572520528.87192
2020-01-21,2020-01-22,8638.623746781,8760.412470813,8531.709621649,8747.381850419,21133613685.66009,156593605926.94266
2020-01-22,2020-01-23,8734.172883547,8785.169479764,8628.227700466,8672.801078606,21487927493.79023,157068117572.19583
2020-01-23,2020-01-24,8678.100847957,8679.203317945,8314.340390935,8391.607956581,21694293542.314556,153092286772.88052
2020-01-24,2020-01-25,8410.044844399,8512.004662877,8243.925763985,8440.287025972,21819201521.969257,151937986769.83456
2020-01-25,2020-01-26,8428.523168159,8443.511628413,8284.916896083,8366.208771054,18942559761.601395,150859836245.1703
2020-01-26,2020-01-27,8350.912434142,8602.219769778,8317.574928674,8591.002875698,17062357023.911625,152809555627.03122
2020-01-27,2020-01-28,8603.44599155,8949.882036107,8595.699982165,8895.603627951,21864918499.87687,157922912199.79553
2020-01-28,2020-01-29,8896.167778512,9334.836393301,8896.167778512,9334.836393301,28386922234.095695,163462892496.78073
2020-01-29,2020-01-30,9361.341368662,9399.970873569,9264.581114883,9304.918063766,31677015378.88771,168807381942.65137
2020-01-30,2020-01-31,9295.295573713,9554.568011022,9226.934034856,9503.267999973,27862509999.088432,169567098661.1014
2020-01-31,2020-02-01,9498.823463288,9512.289712172,9236.47552929,9336.132884714,29879074256.12286,169249094727.01547
2020-02-01,2020-02-02,9345.862971879,9448.900119075,9307.566840979,9386.105651619,24669132631.411457,169636957803.40958
2020-02-02,2020-02-03,9382.886002525,9451.075249365,9222.505434595,9339.574889161,25513782426.063236,169576924680.3792
2020-02-03,2020-02-04,9332.390335202,9545.342884568,9253.044317893,9302.36265841,28287364412.594486,168966244374.17764
2020-02-04,2020-02-05,9299.27391584,9337.172943076,9116.753963881,9187.070016251,25453389344.38254,166714544845.3596
2020-02-05,2020-02-06,9175.377439615,9684.328803636,9163.041622942,9602.309743074,27369542844.8735,170352603411.8736
2020-02-06,2020-02-07,9605.879401946,9835.472653444,9541.800636909,9754.07841167,33460093620.22692,175262977322.93222
2020-02-07,2020-02-08,9760.277761484,9871.278061428,9747.322679613,9820.295541559,31575968441.416294,177054349781.89838
2020-02-08,2020-02-09,9878.102326096,9911.33485993,9678.528905515,9899.911944208,27781716512.858826,177359345663.7805
2020-02-09,2020-02-10,9890.510298711,10136.292375953,9882.112054443,10128.750275518,30830691930.953083,181866640936.16617
2020-02-10,2020-02-11,10128.723888224,10154.399803318,9787.316091433,9869.436911635,32809761670.321304,179314120889.557
2020-02-11,2020-02-12,9859.706677059,10283.609362086,9729.947875627,10229.700902488,32344589624.228157,179739260248.31604
2020-02-12,2020-02-13,10220.508924458,10396.605743004,10220.508924458,10327.554589217,37536325030.77256,186429089122.67944
2020-02-13,2020-02-14,10313.911197328,10458.550677107,10104.987970682,10225.415261826,40279999808.96401,185753452118.88403
2020-02-14,2020-02-15,10229.150079749,10360.532078348,10110.834261583,10327.512334976,38621696717.55168,185324696688.49002
2020-02-15,2020-02-16,10328.115008416,10366.437841436,9862.309991308,9903.077896912,35159749254.72129,183357305740.18774
2020-02-16,2020-02-17,9908.084221839,10032.343092004,9687.006103024,9969.235680452,36525467233.546524,179092557524.82288
2020-02-17,2020-02-18,9939.757984886,9940.394815153,9481.850576798,9711.996027942,39598298473.51138,175667186732.8234
2020-02-18,2020-02-19,9700.842004608,10209.58606591,9620.499124506,10144.896496497,38169582164.26966,177769828118.05847
2020-02-19,2020-02-20,10152.939757068,10214.653170618,9603.34086127,9621.766805943,37096619902.53132,182314328777.60303
2020-02-20,2020-02-21,9612.45634826,9656.516877477,9483.963621918,9612.39263243,38453745129.309906,173334512100.28796
2020-02-21,2020-02-22,9600.491436833,9746.933193634,9576.364242074,9683.453205911,33072200100.22486,175008291937.87903
2020-02-22,2020-02-23,9683.663802783,9700.679432526,9582.977249442,9667.521623153,29322369849.73708,174531980209.10825
2020-02-23,2020-02-24,9663.250800451,9951.126733768,9663.250800451,9923.659319612,29496972972.892437,178038565852.0307
2020-02-24,2020-02-25,9953.140109016,9972.513507261,9518.287042595,9664.370231955,33711384526.733288,175909878700.66232
2020-02-25,2020-02-26,9662.360386721,9905.852191638,9315.47612378,9358.388620384,34745765383.73613,171785263057.60364
2020-02-26,2020-02-27,9327.165780323,9368.457956608,8692.901590615,8829.543592945,35462874215.674545,163787589106.11044
2020-02-27,2020-02-28,8695.374107935,8975.439388304,8565.953034305,8775.595015544,37863755310.130516,159196540576.9416
2020-02-28,2020-02-29,8812.547056153,8892.751475553,8477.509710623,8731.610771305,31653812954.634514,157412038002.72867
2020-02-29,2020-03-01,8750.14460552,8783.127593985,8569.467784718,8569.467784718,28569338388.818615,156921090953.10883
2020-03-01,2020-03-02,8550.541951959,8710.274182381,8426.707718116,8557.504357584,25805457967.583992,154882913461.60522
2020-03-02,2020-03-03,8549.340701251,8956.124737223,8518.222266266,8900.068550262,29111523358.530468,158184330288.864
2020-03-03,2020-03-04,8907.40805683,8907.40805683,8679.939334868,8772.476036802,31679555793.09885,159017072002.8097
2020-03-04,2020-03-05,8762.362408192,8839.479071446,8554.100335166,8749.500221929,29780398865.109215,158496183520.31754
2020-03-05,2020-03-06,8756.306451651,9136.660962335,8756.306451651,9051.139212389,28798098411.369083,162918336040.15533
2020-03-06,2020-03-07,9062.478817977,9150.674743543,9007.385122437,9129.266627707,33574313953.088737,164282940136.1759
2020-03-07,2020-03-08,9133.485034103,9167.919947157,8869.500326368,8898.942077756,34911099914.61379,163526318728.34937
2020-03-08,2020-03-09,8898.958236547,8898.958236547,8042.736084463,8042.736084463,33505674162.182323,155088458047.74023
2020-03-09,2020-03-10,8045.081282543,8132.647862811,7664.882825524,7915.672114634,37959208549.61916,142578528186.79254
2020-03-10,2020-03-11,7933.949977278,8139.026940977,7794.194169827,7900.821325967,34726963415.41885,143809421789.0759
2020-03-11,2020-03-12,7897.141265314,7963.670417156,7627.475829,7931.347542963,32035157695.883503,141970620520.2468
2020-03-12,2020-03-13,7932.112311909,7953.436635033,4684.824346389,4724.392684378,38263176500.41835,121163326657.35214
2020-03-13,2020-03-14,4799.696383318,5891.890068654,4003.591031768,5518.647280507,60723203714.91818,95005002272.69986
2020-03-14,2020-03-15,5585.038431457,5611.99197394,5120.784387384,5212.979297886,41904880597.15357,97722102309.6672
2020-03-15,2020-03-16,5200.968199503,5832.913922816,5168.397855912,5381.745246919,26391424072.39053,96195556705.22151
2020-03-16,2020-03-17,5374.039138323,5374.039138323,4528.299569558,5022.578106242,33030427611.937492,90499353955.15883
2020-03-17,2020-03-18,5008.440359182,5446.809002353,4968.735363742,5362.320406925,36376336243.88972,95525363026.66676
2020-03-18,2020-03-19,5322.867474491,5396.96940241,5047.756898995,5365.581534299,30708432421.460014,95631779590.90817
2020-03-19,2020-03-20,5363.797911144,6373.372918882,5280.250820037,6160.004718461,46227050479.47742,104548696265.17877
2020-03-20,2020-03-21,6163.652015817,6845.32391062,5816.372412437,6192.309975228,82173623931.31546,115935645852.82701
2020-03-21,2020-03-22,6211.467472707,6428.249245557,5921.28429644,6149.79835117,74321910267.06207,112728501963.35501
2020-03-22,2020-03-23,6162.351079007,6385.923935786,5796.48831305,5843.158786255,49039501835.036606,112187860495.32362
2020-03-23,2020-03-24,5836.556172955,6500.702806776,5769.090030033,6467.459038287,48057935733.18337,111429326543.4797
2020-03-24,2020-03-25,6465.057235512,6776.051150412,6390.800015169,6736.044984352,41093254549.53146,121097566539.85704
2020-03-25,2020-03-26,6740.887504072,6909.427937704,6509.137356817,6681.336594453,37094888214.32621,121546867684.8523
2020-03-26,2020-03-27,6679.399746719,6750.800609213,6563.679185357,6736.291779135,29627849180.959633,121738455841.64229
2020-03-27,2020-03-28,6736.947798631,6820.942203709,6377.749563627,6377.749563627,28806208012.94218,122203325296.58276
2020-03-28,2020-03-29,6378.656391936,6378.656391936,6073.035097868,6239.838831896,27085157179.309658,113826923632.40271
2020-03-29,2020-03-30,6241.956890205,6241.956890205,5908.106131654,5917.297073238,23647684302.308273,111751694356.7959
2020-03-30,2020-03-31,5900.006585031,6546.928546829,5877.928854829,6424.078447239,27021350124.509834,114501719213.39624
2020-03-31,2020-04-01,6397.716177481,6496.833910194,6358.758000958,6431.262412871,27431559375.459602,117897004412.5406
2020-04-01,2020-04-02,6419.060999071,6601.951969107,6176.881757456,6598.287014759,25637412066.59383,115302473165.50468
2020-04-02,2020-04-03,6591.46674841,7112.018153073,6572.988865858,6807.465142308,35949707671.355675,122725401428.30705
2020-04-03,2020-04-04,6797.838573991,7009.425589852,6630.440002188,6733.747734803,37167518958.50795,124606219965.22142
2020-04-04,2020-04-05,6733.667480769,6867.941777985,6693.177965417,6847.730054844,27880150848.346153,123733079484.6075
2020-04-05,2020-04-06,6847.445950011,6874.52863927,6710.016206243,6789.732164723,25269670113.00513,124308425037.95819
2020-04-06,2020-04-07,6789.732157002,7291.003704572,6789.732138765,7279.161792257,31594108802.99503,129472682893.77527
2020-04-07,2020-04-08,7317.027619319,7428.30618983,7122.743853702,7198.770191509,39144962205.87615,133817605169.77576
2020-04-08,2020-04-09,7197.669188418,7376.150588799,7171.11416436,7352.328771068,32753738688.828842,133529754680.455
2020-04-09,2020-04-10,7350.84701265,7355.680725464,7166.887911175,7293.584360283,28609068744.733494,133591007345.97972
2020-04-10,2020-04-11,7287.828928937,7291.256765901,6773.42590225,6859.8337374,32004749572.412277,127757875237.51842
2020-04-11,2020-04-12,6870.159673057,6930.589447796,6773.981140848,6869.586551932,30015475132.19048,125695053282.84592
2020-04-12,2020-04-13,6873.738524108,7151.799963148,6797.613534862,6977.230635882,25365748775.631874,127014900702.17606
2020-04-13,2020-04-14,6925.828475568,6925.828475568,6651.14095836,6837.422539886,31953029026.479736,123588123155.13097
2020-04-14,2020-04-15,6841.808244666,6956.211497916,6778.251961362,6856.179093865,28504195497.14,125895041724.99878
2020-04-15,2020-04-16,6860.026011278,6915.825190547,6629.918818011,6637.791815543,26821228375.741028,124596359705.63637
2020-04-16,2020-04-17,6632.63386755,7136.02127105,6531.440044339,7088.799491826,33497785088.697475,126464114155.67062
2020-04-17,2020-04-18,7095.723992935,7127.521095703,7028.621058964,7034.54035767,30376034250.392673,129518207870.7238
2020-04-18,2020-04-19,7038.544102498,7258.392590721,7038.544102498,7233.157423116,24783424486.781746,130947107630.63899
2020-04-19,2020-04-20,7238.813999982,7238.813999982,7084.171815922,7133.148679405,25713381019.621838,131299883668.29266
2020-04-20,2020-04-21,7130.802845592,7193.471505797,6802.728636355,6856.78595335,26956989050.526352,129289405823.92097
2020-04-21,2020-04-22,6850.014587444,6909.394476465,6793.922255098,6851.005362273,29393938160.496082,125825015434.61652
